Token                          Lexema              
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              educasion           
PALABRA_VALIDA_ESPANOL         es                  
ERROR_ORTOGRAFICO              muyy                
PALABRA_VALIDA_ESPANOL         importante          
PALABRA_VALIDA_ESPANOL         para                
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              desaroyo            
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         la         
ERROR_ORTOGRAFICO              sosiedá             
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              estudiantes         
ERROR_ORTOGRAFICO              aprenden            
DIGITO                         10                  
ERROR_ORTOGRAFICO              materias            
PALABRA_VALIDA_ESPANOL         diferentes          
PALABRA_VALIDA_ESPANOL         cada                
ERROR_ORTOGRAFICO              cuatrimestre        
PUNTUACION                     ,                   
ERROR_ORTOGRAFICO              incluyendo          
ERROR_ORTOGRAFICO              programasion        
PALABRA_VALIDA_ESPANOL         y                   
ERROR_ORTOGRAFICO              matemátias          
PUNTUACION                     .                   
PUNTUACION                     ¿                   
PALABRA_VALIDA_ESPANOL         es                  
ERROR_ORTOGRAFICO              nesesario           
ERROR_ORTOGRAFICO              estudiar            
PALABRA_VALIDA_ESPANOL         tanto               
PUNTUACION                     ?                   
PALABRA_VALIDA_ESPANOL         en                  
PALABRA_VALIDA_ESPANOL         el                  
PALABRA_VALIDA_ESPANOL         año                 
DIGITO                         2024                
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              tecnolojia          
ERROR_ORTOGRAFICO              avanzo              
PALABRA_VALIDA_ESPANOL         mucho               
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         las                 
PALABRA_VALIDA_ESPANOL         empresas            
ERROR_ORTOGRAFICO              invirtieron         
DIGITO                         500                 
PALABRA_VALIDA_ESPANOL         millones            
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              pesos               
PALABRA_VALIDA_ESPANOL         en                  
ERROR_ORTOGRAFICO              desarollo           
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              software            
PUNTUACION                     .                   
PUNTUACION                     ¡                   
PALABRA_VALIDA_ESPANOL         que                 
ERROR_ORTOGRAFICO              increible           
PUNTUACION                     !                   
PALABRA_VALIDA_ESPANOL         sin                 
PALABRA_VALIDA_ESPANOL         embargo             
PUNTUACION                     ,                   
ERROR_ORTOGRAFICO              todavia             
PALABRA_VALIDA_ESPANOL         existen             
PALABRA_VALIDA_ESPANOL         muchos              
ERROR_ORTOGRAFICO              desafios            
PALABRA_VALIDA_ESPANOL         por                 
ERROR_ORTOGRAFICO              superar             
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              profesor            
ERROR_ORTOGRAFICO              explico             
PALABRA_VALIDA_ESPANOL         que                 
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              autómatas           
ERROR_ORTOGRAFICO              finitos             
PALABRA_VALIDA_ESPANOL         son                 
ERROR_ORTOGRAFICO              fundamentales       
PALABRA_VALIDA_ESPANOL         en                  
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              teoria              
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              lenguajes           
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         un                  
ERROR_ORTOGRAFICO              afd                 
PALABRA_VALIDA_ESPANOL         puede               
ERROR_ORTOGRAFICO              reconocer           
ERROR_ORTOGRAFICO              patrones            
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         texto               
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         forma               
ERROR_ORTOGRAFICO              efisiente           
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              algoritmos          
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              busqueda            
PALABRA_VALIDA_ESPANOL         en                  
ERROR_ORTOGRAFICO              hash                
ERROR_ORTOGRAFICO              sets                
PALABRA_VALIDA_ESPANOL         tienen              
ERROR_ORTOGRAFICO              complejidad         
PALABRA_VALIDA_ESPANOL         o                   
DIGITO                         1                   
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         lo                  
PALABRA_VALIDA_ESPANOL         cual                
PALABRA_VALIDA_ESPANOL         es                  
ERROR_ORTOGRAFICO              ekselente           
PALABRA_VALIDA_ESPANOL         para                
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              rendimiento         
PUNTUACION                     .                   
PUNTUACION                     ¿                   
PALABRA_VALIDA_ESPANOL         como                
ERROR_ORTOGRAFICO              funciona            
PALABRA_VALIDA_ESPANOL         un                  
ERROR_ORTOGRAFICO              analisador          
ERROR_ORTOGRAFICO              lexico              
PUNTUACION                     ?                   
PALABRA_VALIDA_ESPANOL         primero             
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         se                  
PALABRA_VALIDA_ESPANOL         debe                
ERROR_ORTOGRAFICO              cargar              
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              diccionario         
PALABRA_VALIDA_ESPANOL         con                 
PALABRA_VALIDA_ESPANOL         todas               
PALABRA_VALIDA_ESPANOL         las                 
PALABRA_VALIDA_ESPANOL         palabras            
ERROR_ORTOGRAFICO              validas             
PUNTUACION                     .                   
ERROR_ORTOGRAFICO              despues             
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         se                  
PALABRA_VALIDA_ESPANOL         debe                
ERROR_ORTOGRAFICO              implementar         
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              expresiones         
ERROR_ORTOGRAFICO              regulares           
PALABRA_VALIDA_ESPANOL         para                
ERROR_ORTOGRAFICO              identificar         
ERROR_ORTOGRAFICO              tokens              
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         finalmente          
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         se                  
ERROR_ORTOGRAFICO              clasifica           
PALABRA_VALIDA_ESPANOL         cada                
ERROR_ORTOGRAFICO              lexema              
PALABRA_VALIDA_ESPANOL         según               
PALABRA_VALIDA_ESPANOL         su                  
PALABRA_VALIDA_ESPANOL         tipo                
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         la                  
PALABRA_VALIDA_ESPANOL         universidad         
ERROR_ORTOGRAFICO              politecnica         
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              chiapas             
ERROR_ORTOGRAFICO              ofrece              
ERROR_ORTOGRAFICO              carreras            
PALABRA_VALIDA_ESPANOL         en                  
ERROR_ORTOGRAFICO              ingenieria          
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              software            
PALABRA_VALIDA_ESPANOL         y                   
PALABRA_VALIDA_ESPANOL         sistemas            
ERROR_ORTOGRAFICO              komputacionales     
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              alumnos             
PALABRA_VALIDA_ESPANOL         deben               
ERROR_ORTOGRAFICO              completar           
DIGITO                         12                  
ERROR_ORTOGRAFICO              cuatrimestres       
PALABRA_VALIDA_ESPANOL         para                
ERROR_ORTOGRAFICO              obtener             
PALABRA_VALIDA_ESPANOL         su                  
ERROR_ORTOGRAFICO              titulo              
PUNTUACION                     .                   
PUNTUACION                     ¡                   
PALABRA_VALIDA_ESPANOL         es                  
PALABRA_VALIDA_ESPANOL         un                  
PALABRA_VALIDA_ESPANOL         gran                
ERROR_ORTOGRAFICO              logro               
PUNTUACION                     !                   
PALABRA_VALIDA_ESPANOL         en                  
PALABRA_VALIDA_ESPANOL         el                  
PALABRA_VALIDA_ESPANOL         mundo               
ERROR_ORTOGRAFICO              moderno             
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              komputadoras        
PALABRA_VALIDA_ESPANOL         son                 
ERROR_ORTOGRAFICO              escenciales         
PUNTUACION                     .                   
ERROR_ORTOGRAFICO              permiten            
PALABRA_VALIDA_ESPANOL         realizar            
ERROR_ORTOGRAFICO              tareas              
ERROR_ORTOGRAFICO              complejas           
PALABRA_VALIDA_ESPANOL         en                  
